deal_id,company,deal_size,year_founded,gafam,bigtech_narrow,bigtech_large_excluding_gafamn,bigtech_large_composite,ai_giant_narrow,ai_giant_large,no_bigtech,big_no_tech,acc_inc_custom,acc_inc_pb
140519-71T,12 Sigma Technologies,0.27,2015,0,0,0,0,0,0,1,0,0,0
98154-55T,12 Sigma Technologies,25.71,2015,0,0,0,0,0,0,1,0,0,0
98154-64T,12 Sigma Technologies,,2015,0,0,0,0,0,0,1,0,0,0
140519-80T,12 Sigma Technologies,0.20,2015,0,0,0,0,0,0,1,0,0,0
176871-79T,123Kanfang,,2014,0,0,0,0,0,0,1,0,0,0
176871-97T,123Kanfang,2.29,2014,0,0,0,0,0,0,1,0,0,0
176872-15T,123Kanfang,,2014,0,0,0,0,0,0,1,0,0,0
176871-88T,123Kanfang,,2014,0,0,0,0,0,0,1,0,0,0
270906-31T,20Face,1.30,2016,0,0,0,0,0,0,1,0,0,0
140918-14T,20Face,,2016,0,0,0,0,0,0,1,0,0,0
176926-24T,20Face,,2016,0,0,0,0,0,0,1,0,0,0
212854-60T,20Face,,2016,0,0,0,0,0,0,1,0,0,0
110189-89T,20Face,4.07,2016,0,0,0,0,0,0,1,0,0,0
169230-70T,21strategies,,2020,0,0,0,0,0,0,1,0,0,0
135740-35T,21strategies,1.50,2020,0,0,0,0,0,0,1,0,0,0
181060-03T,237 Networks,,2017,0,0,0,0,0,0,1,0,0,0
193704-58T,2HAE Lifestyle,0.08,2017,0,0,0,0,0,0,1,0,0,0
193704-94T,2HAE Lifestyle,0.39,2017,0,0,0,0,0,0,1,0,0,0
193705-21T,2HAE Lifestyle,,2017,0,0,0,0,0,0,1,1,0,0
265521-52T,2HAE Lifestyle,,2017,0,0,0,0,0,0,1,0,0,0
274980-97T,2Neuron,,2021,0,0,0,0,0,0,0,0,0,0
274982-59T,2Neuron,2.71,2021,0,0,0,0,0,0,1,0,0,0
212365-27T,3co,0.23,2018,0,0,0,0,0,0,1,0,0,0
125693-20T,3co,0.10,2018,0,0,0,0,0,0,1,0,1,0
174429-64T,3DForce,1.39,2013,0,0,0,0,0,0,1,0,0,0
174429-46T,3DForce,0.14,2013,0,0,0,0,0,0,1,0,0,0
132277-87T,3Dintegrated,,2013,0,0,0,0,0,0,1,0,0,1
