deal_id,company,deal_size,deal_date,prev_deal_date,year_founded,gafam,bigtech_narrow,bigtech_large_excluding_gafamn,bigtech_large_composite,ai_giant_narrow,ai_giant_large,no_bigtech,big_no_tech,acc_inc_custom,acc_inc_pb,is_prev_gafam,is_prev_bigtech_narrow,is_prev_bigtech_large_excluding_gafamn,is_prev_bigtech_large_composite,is_prev_ai_giant_narrow,is_prev_ai_giant_large,is_prev_no_bigtech,is_prev_big_no_tech,is_prev_acc_inc_custom,is_prev_acc_inc_pb
159033-16T,PositivUS,0.12,2020-11-01 00:00:00,2020-01-01 00:00:00,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119462-05T,RSVP.ai,0.61,2015-01-01 00:00:00,2013-01-01 00:00:00,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119461-78T,RSVP.ai,8.94,2019-06-04 00:00:00,2015-01-01 00:00:00,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119788-57T,deevio,0.88,2019-01-01 00:00:00,2018-01-01 00:00:00,2018,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
206672-86T,deevio,0,2021-09-10 00:00:00,2019-01-01 00:00:00,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
276994-18T,deevio,0.03,2022-01-17 00:00:00,2021-09-10 00:00:00,2018,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
184191-40T,Kissterra,58.47,2021-07-23 00:00:00,2015-01-01 00:00:00,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194177-89T,Kissterra,9.43,2022-05-16 00:00:00,2021-07-23 00:00:00,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
113070-16T,Brainalyzed,0,2017-12-05 00:00:00,2017-01-01 00:00:00,2017,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
113070-79T,Brainalyzed,0,2018-09-24 00:00:00,2017-12-05 00:00:00,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
169455-88T,Brainalyzed,0.03,2020-10-05 00:00:00,2018-09-24 00:00:00,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
